Tom can't come in.	Tom kać bolo daea.
Another criticism is that eugenics policies eventually lead to a loss of genetic diversity, thereby resulting in inbreeding depression due to a loss of genetic variation.	Eugenics policy kote do, eventually genetic diversity at́oḱa, entayom genetic variation at́oḱ te inbreeding depression beṭaoḱa mente ena reaḱ anḍoḱ miat́ Criticism menaḱa.
It is a pluralistic, multilingual and multi-ethnic society.	Nena do miat́ pluralistic, multilingual anḍoḱ multi-ethnic-society tana.
I want to cry.	Raḱ sukuń tana.
Tom and Mary said that they won't win.	Tom anḍoḱ Mary do 'Kakô daeoḱa' -mentekin kaji ket́a.
I am not married.	Kań aandi akana.
He walked to the house.	Oaḱć sen ket́a.
I have children.	Ańaḱ Hon ko menaḱkoa.
It's a Saxon village.	Ena do Saxon Hatu.
Look!	Nelê me!
As you say.	Am kajiê leka ge.
People from all over the world say that English is difficult to learn.	English etonn do esu muskila mente goṭa Ote ren ko kajiêa.
Averaging an economic growth rate of 7.5% for several years prior to 2007, India has more than doubled its hourly wage rates during the first decade of the 21st century.	2007 ayaraḱ chiminaṅ sirma ko Economic Growth Rate 7.5% average oḱ taeken India re, 21aḱ Century aáyar 10 sirma re, Hourly Wage Rate barsa biur aete ó láḱ akana.
Why do you say that?	Chenaḱ mente enkam kajiê tana?
Are you on Facebook?	Facebook re menaḱbena?
Their collective era was suffused with wide-ranging creativity, but also marked by the declining status of women, and the incorporation of untouchability into an organised system of belief.	Nekoaḱ collective Period do wide ranging Creativity te pereć lena, mendo Êra koaḱ Status decline anḍoḱ untouchability organised system of belief lekate incorporate ean teaḱ te ó urum lena.
The most recent common ancestor (MRCA) of bacteria and archaea was probably a hyperthermophile that lived about 2.5 billion–3.2 billion years ago.	Bacteria,, Archaea koaḱ Most Recent Common Ancestor (MRCA) do probably 2.5 Billion–3.2 Billion Serma noḱ maaṅ re taeken hyperthermophile.
It was colder yesterday than today.	Hola do Tisiṅ aeteó láḱ rabaṅ taekena.
The last person that I told my idea to thought that I was nuts.	Ańaḱ Idea koń kajiat́ić tayomdauaḱ hoo do 'ń baya tana' ć men ket́a.
Yet other scientific studies of feral children exist, such as the case of Genie.	Enreóge, Genie aḱ case lekan Birbagehon ko chetan eṭaḱ Scientific Study ko menaḱ gea.
Immediately south of the emerging Himalayas, plate movement created a vast crescent-shaped trough that rapidly filled with river-borne sediment and now constitutes the Indo-Gangetic Plain.	Rakaboḱ tan Himalay buru japaḱ rená south re, plate movement te maraṅ lekan cresent-shaped bahni bai eana, tayom do ena ãacha ge gaṛa atu agu let́ Sediment te pereć eana, ena te ge nahḱaḱ Indo-Gangetic Plain bai akana.
I have children.	Ańaḱ Hon kin menaḱkina.
I have a pen.	Ań taḱ miat́ Pen menaḱa.
Has that been scientifically proven?	Ena Science lekate uduṕ bit́ akana chi?
There was a time when we told each other everything.	Sabenaḱle japagar upuduṕ taeken miat́ Dipilaṅ ó taekena.
Who are you?	Okoe tanam?
People rightly criticize the villainous behavior of J.K. Rowling. If she didn't want to be criticized, she shouldn't have become a celebrity.	Hoo ko rightly ge J.K. Rowling aḱ Villian lekann Sepentapaekô umaa chunḍulêa. Umaa chunḍuloḱ teaḱ kać sanaṅ ken do honaṅ kać Celebrity yan teaḱ.
In the Indian Ocean, India is in the vicinity of Sri Lanka and the Maldives; its Andaman and Nicobar Islands share a maritime border with Thailand, Myanmar, and Indonesia.	India aḱ Andaman Nicobar Island koaḱ do Thailand, Myanmar, Indonesia loḱ maritime Chirmit́ menaḱa.
Why are they laughing?	Chenaḱ mentekô landa tana?
India's coastline measures 7,517 kilometres (4,700 mi) in length; of this distance, 5,423 kilometres (3,400 mi) belong to peninsular India and 2,094 kilometres (1,300 mi) to the Andaman, Nicobar, and Lakshadweep island chains.	India aḱ coastline do 7,517 kilometer jiliṅa; nen distance reaḱ 5,423 kilometre do peninsular India rea, anḍoḱ 2,094 kilometer do Andaman,, Nicobar,, Lakshadweep island-chain rea.
After the 10th century, Muslim Central Asian nomadic clans, using swift-horse cavalry and raising vast armies united by ethnicity and religion, repeatedly overran South Asia's north-western plains, leading eventually to the establishment of the Islamic Delhi Sultanate in 1206.	10th century tayom, ãacha-sadom cavalry anḍoḱ ethnicity religion te tolmit́ (unite) akan army ko te Central Asia ren nomadic Muslim clan ko, dao ge dao South Asia aḱ north-western plain ko attack yet́ taekena, ena ko te ge tayom 1206 re Islamic Delhi Sultanate establish eana.
I need a little help.	Joka Dengań dorkaroḱ tana.
Can you help me?	Denga daeńam chi?
They gathered in some villages.	Chiminaṅ Hatu rekô hunḍinn eana.
Tom wasn't crazy.	Tom kać baya lena.
What are you talking about?	Chenaḱben jagarê tana?
Subspecies of this bacteria are used as Lepidopteran-specific insecticides under trade names such as Dipel and Thuricide.	Nen Bacteria ren Subhita do Dipel,, Thuricide lekan Trade Name te Lepidopteran-specific Insecticide lekakô agujoṅoḱa.
They tickled Nuja.	Nuja kô guluṅ ket́ića.
In contemporary usage, the term eugenics is closely associated with scientific racism.	Contemporary usage re, Eugenics nen term do, scientific racism loḱ closely associate oḱa.
What happened?	Chika eana?
I am running.	Nir tanań.
This ensures the availability of the strain to scientists worldwide.	Neka te goṭa Otesae ren Scientist ko lagit́ en Strain available rika daeoḱa.
Are you all right?	Bugi gebena chi?
Mom will buy us a puppy.	Má Setahoneć kiriṅaliṅa.
Are you happy?	Rãasa rema chi kaa?
History	History
Tell her that I am in a taxi.	Taxi reńa mente kajiać me.
Sami covered his neck.	Sami taćaḱ Hoṭoḱć daloṕ ket́a.
Let's ask them.	Dolaṅ kulikoa.
Where is the tree?	En Daru do okon rea?
I hope we are the last.	Abu ge chanaṕaḱkôoḱkâń menea.
Let's ask her.	Dolabu kulića.
She is helping him.	Enić do aćeć denga tana.
I'm thirsty.	Daḱ tetaṅiń tana.
Algeria witnessed rapid economic growth during the Bouteflika era.	Bouteflika Era re, Algeria re Rapid Economic Growth hoba eana.
Adriano wandered into the village.	Adriano honor-honor te Hatuć bolo eana.
Hello, how are you?	Chige, chilika menaḱbena?
Lift it up.	Chetanê me.
On the Deccan Plateau, archaeological evidence from this period suggests the existence of a chiefdom stage of political organisation.	Deccan Plateau reaḱ nen period ren archaeological-evidence te inguloḱ tana chi nentaḱ re political-organisation reaḱ chiefdom-stage taekena mente.
Come and dance with me!	Dola ań loḱ susun ben!
